token,price,market_cap,timestamp
GOAT1234567890123456789012345678901234567890A,0.0001,100000,2024-10-01T00:00:00
GOAT1234567890123456789012345678901234567890A,0.001,1000000,2024-10-01T02:00:00
GOAT1234567890123456789012345678901234567890A,0.1,100000000,2024-10-01T04:00:00
GOAT1234567890123456789012345678901234567890A,0.2,200000000,2024-10-01T06:00:00
WIF1234567890123456789012345678901234567890B,0.0002,200000,2024-10-02T00:00:00
WIF1234567890123456789012345678901234567890B,0.01,10000000,2024-10-02T03:00:00
WIF1234567890123456789012345678901234567890B,0.02,20000000,2024-10-02T05:00:00
BONK1234567890123456789012345678901234567890C,0.00005,50000,2024-10-03T00:00:00
BONK1234567890123456789012345678901234567890C,0.0025,2500000,2024-10-03T02:00:00
BONK1234567890123456789012345678901234567890C,0.005,5000000,2024-10-03T04:00:00
XYZ1234567890123456789012345678901234567890D,0.0003,300000,2024-10-04T00:00:00
XYZ1234567890123456789012345678901234567890D,0.0001,10000,2024-10-04T01:00:00
ABC1234567890123456789012345678901234567890E,0.00015,150000,2024-10-05T00:00:00
ABC1234567890123456789012345678901234567890E,0.00039,390000,2024-10-05T02:00:00
DEF1234567890123456789012345678901234567890F,0.0002,200000,2024-10-06T00:00:00
DEF1234567890123456789012345678901234567890F,0.00002,20000,2024-10-06T01:00:00
GHI1234567890123456789012345678901234567890G,0.00025,250000,2024-10-07T00:00:00
GHI1234567890123456789012345678901234567890G,0.00005,5000,2024-10-07T01:00:00
